	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
1860	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1861	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1862	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1863	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1864	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1865	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1866	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1867	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1868	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1869	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1870	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1871	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1872	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1873	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1874	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1875	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1876	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1877	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1878	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1879	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1880	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1881	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1882	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1883	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1884	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1885	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1886	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1887	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1888	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1889	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1890	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1891	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1892	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1893	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1894	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1895			$39,000		2018-2019	4th	
1896			$39,000		2018-2019	4th	
1897	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1898	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1899	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1900	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1901	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1902	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1903	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1904	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1905	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1906	FAMU	COPPS	$16,183		2018-2019		
1907	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1908	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1909	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
1910	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1911	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1912	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1913	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1914	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1915	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1916	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1917	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1918	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1919	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1920	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1921	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1922	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1923	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1924	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1925	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1926	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1927	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1928	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1929	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1930	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1931	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1932	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1933	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1934	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1935	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1936	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1937	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1938	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1939	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1940	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1941	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1942	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1943	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1944	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1945			$39,000		2018-2019	4th	
1946			$39,000		2018-2019	4th	
1947	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
1948	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
1949	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
1950	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1951	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
1952	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
1953	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
1954	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
1955	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
1956	FAMU	COPPS	$16,183		2018-2019		
1957	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
1958	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
1959	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
1960	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
1961	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
1962	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
1963	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
1964	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
1965	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
1966	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
1967	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
1968	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
1969	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
1970	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
1971	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
1972	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
1973	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
1974	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1975	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
1976	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
1977	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
1978	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
1979	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
1980	University of Reims	Computer Science	$1,400		2018-2019	3rd	
1981	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
1982	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
1983	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1984	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
1985	Baylor University (BU)	History	$17,500	0.88	2018-2019		
1986	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
1987	University of Arizona (U of A)		$20,150	0.97	2019-2020		
1988	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
1989	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
1990	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1991	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
1992	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
1993	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
1994	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
1995			$39,000		2018-2019	4th	
